,champion,counter,be_counter,combine_with
39,aurelionsol,"Cassiopeia,Ekko,Fizz,Kassadin,Morgana,Vel'Koz,Zed","Akali,Diana,LeBlanc,Lux,Ryze,Yasuo,Ziggs,Zoe","Ahri,LeBlanc,Xerath,Zed"
40,alistar,"Bard,Janna,Nami,Sona,Soraka,Taric,Neeko","Galio,Gragas,Shen,TahmKench,Braum","Blitzcrank,Leona,Morgana,Thresh,Pyke"
41,hecarim,"Darius,Kayle,Quinn,Riven,Udyr,Urgot,Illaoi","Aatrox,Dr. Mundo,Fiora,Gragas,Wukong,Singed,Yasuo,Zac","Irelia,Jarvan IV,Kayle,LeeSin,Riven"
42,azir,"Ahri,Cassiopeia,Karthus,Veigar,Viktor,Xerath,Ziggs,Taliyah,Neeko","Ahri,Akali,Diana,Galio,Kennen,Swain,Kled","Ahri,Syndra,Twisted Fate,Zed"
43,maokai,"Dr. Mundo,Gnar,Kayle,Leona,Quinn,Riven,Sion,Urgot,Vi,Zyra,Kled","Bard,Heimerdinger,Jayce,Lissandra,Malphite,Ryze,Trundle","Darius,Irelia,Kayle,Riven,Vladimir"
44,drmundo,"Cho'Gath,Garen,Kayle,Wukong,Vayne,Yasuo,Camille","Aatrox,Malphite,Maokai,Renekton,Rengar","Darius,Kayle,Riven,Urgot,Vladimir"
45,aphelios,"Cassiopeia,Heimerdinger,Leona,Miss Fortune,Soraka,Tristana,Twitch","Ezreal,Xayah,Kai'Sa,Senna","Ezreal,Lucian,Miss Fortune"
46,kayn,"Fiddlesticks,Poppy,Rek'Sai,Udyr,Ivern","Aatrox,Gragas,Olaf,Sejuani,Zac,Sylas","Jarvan IV,LeeSin,Xin Zhao"
47,kayle,"Akali,Azir,Wukong,Pantheon,Quinn,Rengar,Riven,Viktor","Cho'Gath,Dr. Mundo,Fiora,Garen,Mordekaiser,Poppy,Shen,Singed,Sion,Illaoi","Darius,Irelia,Jax,Riven,Urgot,Vladimir"
48,renekton,"Gnar,Hecarim,Jax,Kayle,Maokai,Quinn,Shen,Teemo,Vayne,Illaoi","Aatrox,Cho'Gath,Ryze,Volibear,Yasuo","Darius,Irelia,Jax,Kayle,Riven"
49,velkoz,"Blitzcrank,Fiddlesticks,Fizz,Kassadin,Lucian,Poppy,Sona,Zilean,Pyke","Aatrox,Karma,Malphite,Pantheon,Shen,TahmKench,Veigar,Neeko","Ahri,Blitzcrank,Morgana,Nami,Thresh,Xerath,Zed"
50,neeko,"Cho'Gath,Gragas,Karthus,Wukong,Vel'Koz,Viktor,Zilean,Taliyah","Akali,Azir,Malphite,Singed,Tryndamere,Veigar,Rakan,Braum","Kayle,Morgana,Thresh,Urgot,Zed"
51,sion,"Anivia,Gnar,Jax,Kayle,Mordekaiser,Wukong,Riven,Veigar,Vladimir,Xerath,Kled,Taliyah","Cho'Gath,Irelia,Jayce,Malphite,Maokai,Orianna,Pantheon,Ryze,Viktor,Volibear,Yasuo,Zoe","Darius,Jayce,Kayle,Riven,Urgot,Zed"
52,trundle,"Dr. Mundo,Graves,Hecarim,Maokai,Teemo,Twitch,Vi,Vladimir","Fiora,Gangplank,Karthus,Wukong,Shen,Zac","Irelia,Jarvan IV,LeeSin,Sejuani,Urgot,Xin Zhao"
